the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,
0101000020E6100000223D972C11CA52C0D18BA15BABFD4340,0101000020110F00000B7BC40A62EA5FC12512D62B508D5241,831,174852,Nw Broad/Polett,yes,39.98179193,-75.15729823,19121
0101000020E6100000288D12EDDBCB52C09FC5FC2C3DFA4340,0101000020110F000045573E476DED5FC19DC8FBFE82895241,697,174297,Nw 31st/Market,no,39.95499194,-75.18529822,19104
0101000020E610000092925583FDCD52C047E3450BAF044440,0101000020110F0000F6ED3C030CF15FC159042B4917955241,698,174298,Ne Ridge/Hermitage,no,40.03659192,-75.21859821,19128
0101000020E6100000568BE801F9CC52C09CBE66135B094440,0101000020110F0000698A898451EF5FC1214D485F469A5241,699,174300,Nw Hartwell/Germantown ave,no,40.07309191,-75.20269821,19118
0101000020E6100000B9FE1856DCC252C02002BA0F74044440,0101000020110F00001BE2386624DE5FC11E51CDDBD5945241,700,174301,Nw Princeton/Frankford ave,no,40.03479191,-75.04469826,19135
0101000020E61000004E193550D1CD52C0AB3F242F5F044440,0101000020110F0000B73E5BEFC0F05FC185BA5BB3BE945241,701,174302,Ne Ridge/Green Ln.,no,40.03415479,-75.21590047,19128
0101000020E61000003C4B5C920BCB52C0BE946B1263044440,0101000020110F00002AEA125E0BEC5FC17B2A5C03C3945241,702,174303,Nw Penn/Germantown ave,no,40.03427344,-75.17258128,19144
0101000020E61000002092B6951CCB52C058754EAC79044440,0101000020110F0000BE20144428EC5FC10AE45315DC945241,703,174304,Se Armat/Germantown ave,no,40.03496317,-75.17361968,19144
0101000020E610000085FEBE207EC852C004B18782DCFD4340,0101000020110F00004E1E6B6DB5E75FC14908B7A6868D5241,704,174305,Nw Susquehanna/Kensington,no,39.98329193,-75.13269824,19133
0101000020E6100000B652498A5CCE52C0DCE265BB21054440,0101000020110F0000EAA3036DADF15FC1B4A5878296955241,705,174306,Se Ridge/Cinnaminson,no,40.04009192,-75.2243982,19128
